@RELATION HeaderDataClassification

@ATTRIBUTE CellNum		NUMERIC
@ATTRIBUTE AvgCellLen		NUMERIC
@ATTRIBUTE CharNum		NUMERIC
@ATTRIBUTE DigitChRatio		NUMERIC
@ATTRIBUTE AlphaChRatio		NUMERIC
@ATTRIBUTE SymbolChRatio	NUMERIC
@ATTRIBUTE FontSize		NUMERIC
@ATTRIBUTE FontBold		NUMERIC
@ATTRIBUTE FontItalic		NUMERIC
@ATTRIBUTE NumCellRatio		NUMERIC
@ATTRIBUTE CellNumRatio		NUMERIC
@ATTRIBUTE class	{HeaderDataClassification-0, HeaderDataClassification-1}

@DATA
9,	13,	119,	0.23,	0.01,	0.09,	8.95,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	17,	160,	0.17,	0.01,	0.06,	8.96,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	22,	201,	0.13,	0.00,	0.05,	8.96,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	27,	244,	0.12,	0.00,	0.04,	8.96,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	32,	291,	0.11,	0.00,	0.03,	8.96,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	4,	37,	0.43,	0.13,	0.43,	7.97,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-1
9,	8,	78,	0.35,	0.02,	0.14,	8.85,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	13,	119,	0.23,	0.01,	0.09,	8.95,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	17,	160,	0.17,	0.01,	0.06,	8.96,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	22,	201,	0.13,	0.00,	0.05,	8.96,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	26,	242,	0.11,	0.00,	0.04,	8.96,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	31,	283,	0.09,	0.00,	0.03,	8.96,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	4,	37,	0.43,	0.13,	0.43,	7.97,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-1
9,	9,	83,	0.37,	0.08,	0.09,	8.85,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	14,	132,	0.24,	0.06,	0.06,	8.95,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	20,	181,	0.17,	0.04,	0.04,	8.96,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	25,	231,	0.12,	0.04,	0.04,	8.96,	0.0,	0.0,	0.77,	0.0,	HeaderDataClassification-0
9,	31,	281,	0.10,	0.02,	0.05,	8.96,	0.0,	0.0,	0.11,	0.0,	HeaderDataClassification-0
9,	4,	37,	0.43,	0.13,	0.43,	7.97,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-1
9,	8,	79,	0.34,	0.08,	0.10,	8.85,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	13,	119,	0.21,	0.04,	0.07,	8.95,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	17,	157,	0.16,	0.01,	0.05,	8.96,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	4,	37,	0.43,	0.13,	0.43,	7.97,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-1
9,	9,	83,	0.37,	0.08,	0.09,	8.85,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	14,	126,	0.23,	0.03,	0.07,	8.95,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
9,	18,	167,	0.17,	0.01,	0.05,	8.96,	0.0,	0.0,	0.88,	0.0,	HeaderDataClassification-0
13,	7,	96,	0.43,	0.13,	0.42,	7.97,	0.0,	0.0,	0.15,	0.0,	HeaderDataClassification-1
13,	16,	214,	0.32,	0.03,	0.18,	8.58,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
13,	22,	296,	0.16,	0.02,	0.08,	8.63,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
13,	29,	379,	0.12,	0.02,	0.06,	8.63,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
13,	7,	96,	0.43,	0.13,	0.42,	7.97,	0.0,	0.0,	0.15,	0.0,	HeaderDataClassification-1
13,	16,	214,	0.32,	0.03,	0.18,	8.58,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
13,	22,	296,	0.16,	0.02,	0.08,	8.63,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
13,	29,	379,	0.12,	0.02,	0.06,	8.63,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
18,	28,	517,	0.0,	0.84,	0.15,	1.0,	0.0,	0.0,	0.0,	0.12,	HeaderDataClassification-1
14,	68,	955,	0.0,	0.38,	0.07,	1.07,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
14,	90,	1269,	0.0,	0.21,	0.03,	1.07,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
21,	13,	274,	0.00,	0.89,	0.09,	1.0,	0.04,	0.0,	0.0,	0.2,	HeaderDataClassification-1
14,	24,	345,	0.0,	0.20,	0.0,	1.07,	0.14,	0.0,	0.0,	0.06,	HeaderDataClassification-0
16,	43,	692,	0.0,	0.44,	0.05,	1.06,	0.06,	0.0,	0.0,	0.06,	HeaderDataClassification-0
1,	4,	4,	0.0,	1.0,	0.0,	11.0,	0.0,	1.0,	0.0,	0.66,	HeaderDataClassification-1
5,	12,	60,	0.0,	0.86,	0.06,	13.2,	0.0,	0.2,	0.0,	0.11,	HeaderDataClassification-0
4,	33,	132,	0.0,	0.50,	0.03,	14.3,	0.0,	0.25,	0.0,	0.33,	HeaderDataClassification-0
8,	38,	306,	0.0,	0.48,	0.08,	12.7,	0.0,	0.12,	0.0,	0.33,	HeaderDataClassification-0
8,	5,	47,	0.0,	0.93,	0.06,	1.0,	0.0,	0.0,	0.0,	0.05,	HeaderDataClassification-1
9,	10,	91,	0.30,	0.08,	0.08,	1.11,	0.0,	0.0,	0.77,	0.05,	HeaderDataClassification-0
10,	14,	142,	0.20,	0.09,	0.05,	1.11,	0.0,	0.0,	0.7,	0.0,	HeaderDataClassification-0
10,	19,	193,	0.15,	0.07,	0.04,	1.11,	0.0,	0.0,	0.7,	0.11,	HeaderDataClassification-0
